IP,DNS,Tracking Method,Last Scanned Date,Tags
150.136.207.231,None,IP,2021-01-19,Security|NSCore_OCI_external_IAD|Internet Facing Assets|AG:CMDB:OCI_external_all|AG:CMDB:IAD_OCI_external|AG:CMDB:UNKNOWN_OCI_external
150.136.206.62,None,IP,2021-01-19,all_external|Security|NSCore_OCI_external_IAD|Internet Facing Assets|AG:CMDB:OCI_external_all|AG:CMDB:IAD_OCI_external|AG:CMDB:UNKNOWN_OCI_external
150.136.191.61,None,IP,2021-01-19,all_external|Security|NSCore_OCI_external_IAD|Internet Facing Assets|AG:CMDB:OCI_external_all|AG:CMDB:IAD_OCI_external|AG:CMDB:UNKNOWN_OCI_external
129.146.220.111,None,IP,2020-07-11,all_external|Security|Internet Facing Assets
72.34.170.177,72-34-170-177.sd.netsuite.com,DNS,2021-01-15,all_external|BU:NSCore|Security|BU:NetOps|network_ch1_external_all|NSCore_Classic_external_all|Internet Facing Assets
72.34.170.182,72-34-170-182.sd.netsuite.com,DNS,2021-01-15,all_external|BU:NSCore|Security|BU:NetOps|network_ch1_external_all|NSCore_Classic_external_all|Internet Facing Assets
72.34.170.227,72-34-170-227.sd.netsuite.com,DNS,2020-11-26,all_external|BU:NSCore|Security|BU:NetOps|network_ch1_external_all|NSCore_Classic_external_all|Internet Facing Assets
72.34.170.45,72-34-170-45.sd.netsuite.com,DNS,2021-01-15,all_external|BU:NSCore|Security|BU:NetOps|network_ch1_external_all|NSCore_Classic_external_all|Internet Facing Assets
72.34.170.146,72-34-170-146.sd.netsuite.com,DNS,2020-12-02,all_external|BU:NSCore|Security|BU:NetOps|network_ch1_external_all|NSCore_Classic_external_all|Internet Facing Assets
72.34.170.151,72-34-170-151.sd.netsuite.com,DNS,2020-12-03,all_external|BU:NSCore|Security|BU:NetOps|network_ch1_external_all|NSCore_Classic_external_all|Internet Facing Assets
172.24.241.21,None,IP,2021-01-18,all_internal|Security|BU:Payroll|ITGI|se4b_devops_internal_all|BU:DevOps|se4b_devops_user_scrumvms_internal|Internal|AI:Internal|CDE:ConnectedTo|DevOps Asset
10.16.56.113,hyp015.m.ams.netledger.com,IP,2021-01-14,all_internal|BU:NSCore|Security|am3_qa_saops_internal_all|Internal|DC:AM3|AI:Internal
10.16.56.112,hyp014.m.ams.netledger.com,IP,2021-01-14,all_internal|BU:NSCore|Security|am3_qa_saops_internal_all|Internal|DC:AM3|AI:Internal
10.16.183.64,hyp002-console.adm.ams.netledger.com,IP,2021-01-15,all_internal|BU:NSCore|Security|BU:NetOps|SRE|am3_internal_all|CVE-2017-12542  Vulnerable NSCore Assets|am3_prod_ilo_saops_internal_all|Internal|PCI:CDE|DC:AM3|CDE:ILO|AI:Internal
10.18.54.31,npm001.adm.dub.netledger.com,IP,2020-12-04,all_internal|BU:NSCore|Security|du3_prod_admin_internal_all|network_du3_internal_all|Internal|CDE:IPAddress|PCI:CDE|DC:DU3|AI:Internal
129.213.112.40,None,IP,2020-07-08,all_external|Security|Internet Facing Assets
129.213.158.83,None,IP,2020-06-30,all_external|Security|AI:New Asset|Internet Facing Assets
72.34.170.117,72-34-170-117.sd.netsuite.com,DNS,2020-12-03,all_external|BU:NSCore|Security|BU:NetOps|network_ch1_external_all|NSCore_Classic_external_all|Internet Facing Assets
72.34.170.98,72-34-170-98.sd.netsuite.com,DNS,2021-01-15,all_external|BU:NSCore|Security|BU:NetOps|network_ch1_external_all|NSCore_Classic_external_all|Internet Facing Assets
132.145.214.83,None,IP,2020-07-01,all_external|Security|AI:New Asset|Internet Facing Assets
129.213.125.57,None,IP,2020-06-30,all_external|Security|AI:New Asset|Internet Facing Assets
150.136.8.142,None,IP,2020-07-02,all_external|Security|AI:New Asset|Internet Facing Assets
129.213.104.225,None,IP,2020-07-06,all_external|Security|AI:New Asset|Internet Facing Assets
172.26.230.72,None,IP,2020-12-10,all_internal|Security|BU:Payroll|ITGI|du3b_corpIT_internal_all|se4b_devops_internal_all|BU:DevOps|Internal|AI:Internal|du3b_devops_internal_all|DevOps Asset
10.16.6.71,tdc-console004.prod.ams.netledger.com,DNS,2021-01-19,all_internal|BU:NSCore|Security|am3_prod_java_saops_internal_all|Internal|CDE:IPAddress|PCI:CDE|DC:AM3|AI:Internal
10.16.7.11,apache-shop002.prod.ams.netledger.com,IP,2021-01-19,all_internal|BU:NSCore|Security|am3_prod_apache_saops_internal_all|Internal|CDE:IPAddress|PCI:CDE|DC:AM3|AI:Internal
10.16.7.12,apache-shop003.prod.ams.netledger.com,IP,2021-01-19,all_internal|BU:NSCore|Security|am3_prod_apache_saops_internal_all|Internal|CDE:IPAddress|PCI:CDE|DC:AM3|AI:Internal
10.16.7.15,apache-partners002.prod.ams.netledger.com,IP,2021-01-19,all_internal|BU:NSCore|Security|am3_prod_apache_saops_internal_all|Internal|CDE:IPAddress|PCI:CDE|DC:AM3|AI:Internal
10.16.7.16,apache-partners004.prod.ams.netledger.com,IP,2021-01-19,all_internal|BU:NSCore|Security|am3_prod_apache_saops_internal_all|Internal|CDE:IPAddress|PCI:CDE|DC:AM3|AI:Internal
10.16.7.17,apache-acct001.prod.ams.netledger.com,IP,2021-01-19,all_internal|BU:NSCore|Security|am3_prod_apache_saops_internal_all|Internal|CDE:IPAddress|PCI:CDE|DC:AM3|AI:Internal
10.16.7.14,apache-partners001.prod.ams.netledger.com,IP,2021-01-19,all_internal|BU:NSCore|Security|am3_prod_apache_saops_internal_all|Internal|CDE:IPAddress|PCI:CDE|DC:AM3|AI:Internal
10.16.4.10,apache-shop005.prod.ams.netledger.com,IP,2020-12-08,all_internal|BU:NSCore|Security|am3_prod_apache_saops_internal_all|Internal|CDE:IPAddress|PCI:CDE|DC:AM3|AI:Internal
10.16.6.70,cas013.prod.ams.netledger.com,IP,2021-01-19,all_internal|BU:NSCore|Security|am3_prod_java_saops_internal_all|Internal|CDE:IPAddress|PCI:CDE|DC:AM3|AI:Internal
10.16.6.72,cas011.st.ams.netledger.com,IP,2021-01-19,all_internal|BU:NSCore|Security|am3_prod_java_saops_internal_all|Internal|CDE:IPAddress|PCI:CDE|DC:AM3|AI:Internal
10.16.6.73,mono006.prod.ams.netledger.com,IP,2021-01-19,all_internal|BU:NSCore|Security|am3_prod_java_saops_internal_all|Internal|CDE:IPAddress|PCI:CDE|DC:AM3|AI:Internal
10.16.6.74,zoo014.prod.ams.netledger.com,IP,2021-01-19,all_internal|BU:NSCore|Security|am3_prod_java_saops_internal_all|Internal|CDE:IPAddress|PCI:CDE|DC:AM3|AI:Internal
10.16.7.13,apache-shop004.prod.ams.netledger.com,IP,2021-01-19,all_internal|BU:NSCore|Security|am3_prod_apache_saops_internal_all|Internal|CDE:IPAddress|PCI:CDE|DC:AM3|AI:Internal
10.16.7.71,elkcom-dms011.prod.ams.netledger.com,DNS,2021-01-19,all_internal|BU:NSCore|Security|am3_prod_java_saops_internal_all|Internal|CDE:IPAddress|PCI:CDE|DC:AM3|AI:Internal
10.16.7.72,zoo013.prod.ams.netledger.com,DNS,2021-01-19,all_internal|BU:NSCore|Security|am3_prod_java_saops_internal_all|Internal|CDE:IPAddress|PCI:CDE|DC:AM3|AI:Internal
64.89.44.91,prod.nspayroll.com,IP,2021-01-18,bo1_external_all|all_external|BU:NSCore|Security|BU:OpenAir|BU:NetOps|SRE|bo1_openair_external_all|pci_netsuite_2019|NSCore_2020_pci_external_pentest|Internet Facing Assets|network_bo1_external_all
