IP,DNS,Tracking Method,Tags
10.1.79.113,debugger.f.netsuite.com,IP,all_internal|BU:NSCore|Security|sc9_qa_saops_internal_all|Internal|DC:SC9|AI:Internal
10.1.79.115,central.f.netsuite.com,IP,all_internal|BU:NSCore|Security|sc9_qa_saops_internal_all|Internal|DC:SC9|AI:Internal
10.1.79.117,available-10.1.79.117.ips.svale.netledger.com,IP,all_internal|BU:NSCore|Security|sc9_qa_saops_internal_all|Internal|AI:No DNS Record|DC:SC9|AI:Internal
10.1.65.83,acct003.snap.svale.netledger.com,IP,all_internal|BU:NSCore|Security|sc9_qa_saops_internal_all|sc9_f_molecule|sc9_weblogic_vulnerable|Internal|DC:SC9|AI:Internal
10.1.66.35,qa-db022.svale.netledger.com,IP,all_internal|BU:NSCore|Security|sc9_qa_saops_internal_all|sc9_f_molecule|Internal|DC:SC9|AI:Internal
10.1.66.106,qa-db036.svale.netledger.com,IP,all_internal|BU:NSCore|Security|sc9_qa_saops_internal_all|sc9_f_molecule|Internal|DC:SC9|AI:Internal
10.1.66.107,qa-db037.svale.netledger.com,IP,all_internal|BU:NSCore|Security|sc9_qa_saops_internal_all|sc9_f_molecule|Internal|DC:SC9|AI:Internal
10.1.66.128,qa-db040.svale.netledger.com,IP,all_internal|BU:NSCore|Security|sc9_qa_saops_internal_all|sc9_f_molecule|Internal|DC:SC9|AI:Internal
10.1.79.103,partners.f.netsuite.com,IP,all_internal|BU:NSCore|Security|sc9_qa_saops_internal_all|Internal|DC:SC9|AI:Internal
10.1.79.105,admindocs.f.netsuite.com,IP,all_internal|BU:NSCore|Security|sc9_qa_saops_internal_all|Internal|DC:SC9|AI:Internal
10.1.79.110,forms.f.netsuite.com,IP,all_internal|BU:NSCore|Security|sc9_qa_saops_internal_all|Internal|DC:SC9|AI:Internal
10.1.79.116,available-10.1.79.116.ips.svale.netledger.com,IP,all_internal|BU:NSCore|Security|sc9_qa_saops_internal_all|Internal|AI:No DNS Record|DC:SC9|AI:Internal
10.1.79.120,available-10.1.79.120.ips.svale.netledger.com,IP,all_internal|BU:NSCore|Security|sc9_qa_saops_internal_all|Internal|AI:No DNS Record|DC:SC9|AI:Internal
10.1.65.53,acct001.snap.svale.netledger.com,IP,all_internal|BU:NSCore|Security|sc9_qa_saops_internal_all|Internal|DC:SC9|AI:Internal
10.1.166.106,qa-db036-console.svale.netledger.com,IP,all_internal|BU:NSCore|Security|sc9_qa_saops_internal_all|CVE-2017-12542  Vulnerable NSCore Assets|Internal|DC:SC9|AI:Internal
10.1.166.105,qa-db035-console.svale.netledger.com,DNS,all_internal|BU:NSCore|Security|sc9_qa_saops_internal_all|CVE-2017-12542  Vulnerable NSCore Assets|Internal|DC:SC9|AI:Internal
10.1.166.107,qa-db037-console.svale.netledger.com,IP,all_internal|BU:NSCore|Security|sc9_qa_saops_internal_all|CVE-2017-12542  Vulnerable NSCore Assets|Internal|DC:SC9|AI:Internal
10.1.65.43,migrate003.f.svale.netledger.com,IP,all_internal|BU:NSCore|Security|sc9_qa_saops_internal_all|Internal|DC:SC9|AI:Internal
10.1.65.91,backend003.snap.svale.netledger.com,IP,all_internal|BU:NSCore|Security|weblogic_internal_all|sc9_qa_saops_internal_all|sc9_f_molecule|sc9_weblogic_vulnerable|Internal|DC:SC9|AI:Internal
10.1.66.112,qa-db041.svale.netledger.com,IP,all_internal|BU:NSCore|Security|sc9_qa_saops_internal_all|sc9_f_molecule|Internal|DC:SC9|AI:Internal
10.1.166.102,qa-db033-console.svale.netledger.com,IP,all_internal|BU:NSCore|Security|sc9_qa_saops_internal_all|CVE-2017-12542  Vulnerable NSCore Assets|Internal|DC:SC9|AI:Internal
10.1.66.117,qa-db043.svale.netledger.com,IP,all_internal|BU:NSCore|Security|sc9_qa_saops_internal_all|sc9_f_molecule|Internal|DC:SC9|AI:Internal
10.1.166.30,qa-db516-console.svale.netledger.com,IP,all_internal|BU:NSCore|Security|sc9_qa_saops_internal_all|CVE-2017-12542  Vulnerable NSCore Assets|Internal|DC:SC9|AI:Internal
10.1.166.115,qa-db008-console.svale.netledger.com,IP,all_internal|BU:NSCore|Security|sc9_qa_saops_internal_all|CVE-2017-12542  Vulnerable NSCore Assets|Internal|DC:SC9|AI:Internal
10.1.166.65,qa-db014-console.svale.netledger.com,IP,all_internal|BU:NSCore|Security|sc9_qa_saops_internal_all|CVE-2017-12542  Vulnerable NSCore Assets|Internal|DC:SC9|AI:Internal
10.1.66.48,qa-db494.svale.netledger.com,DNS,all_internal|BU:NSCore|Security|sc9_qa_saops_internal_all|Internal|DC:SC9|AI:Internal
10.1.166.96,qa-db519-console.svale.netledger.com,IP,all_internal|BU:NSCore|Security|sc9_qa_saops_internal_all|CVE-2017-12542  Vulnerable NSCore Assets|Internal|DC:SC9|AI:Internal
10.1.166.108,qa-db038-console.svale.netledger.com,IP,all_internal|BU:NSCore|Security|sc9_qa_saops_internal_all|Internal|DC:SC9|AI:Internal
10.1.166.103,qa-db034-console.svale.netledger.com,IP,all_internal|BU:NSCore|Security|sc9_qa_saops_internal_all|Internal|DC:SC9|AI:Internal
10.1.166.133,qa-db001-console.svale.netledger.com,IP,all_internal|BU:NSCore|Security|sc9_qa_saops_internal_all|Internal|DC:SC9|AI:Internal
10.1.79.155,system.snap.netsuite.com,IP,all_internal|BU:NSCore|Security|sc9_qa_saops_internal_all|Internal|DC:SC9|AI:Internal
10.1.79.166,central.snap.netsuite.com,IP,all_internal|BU:NSCore|Security|sc9_qa_saops_internal_all|Internal|DC:SC9|AI:Internal
10.1.79.149,debugger.snap.netsuite.com,IP,all_internal|BU:NSCore|Security|sc9_qa_saops_internal_all|Internal|DC:SC9|AI:Internal
10.1.79.150,checkout.snap.netsuite.com,IP,all_internal|BU:NSCore|Security|sc9_qa_saops_internal_all|Internal|DC:SC9|AI:Internal
10.1.79.152,partners.snap.netledger.com,IP,all_internal|BU:NSCore|Security|sc9_qa_saops_internal_all|Internal|DC:SC9|AI:Internal
10.1.79.153,partners.snap.netsuite.com,IP,all_internal|BU:NSCore|Security|sc9_qa_saops_internal_all|Internal|DC:SC9|AI:Internal
10.1.79.154,shopping.snap.netsuite.com,IP,all_internal|BU:NSCore|Security|sc9_qa_saops_internal_all|Internal|DC:SC9|AI:Internal
10.1.79.157,testdrive.snap.netsuite.com,IP,all_internal|BU:NSCore|Security|sc9_qa_saops_internal_all|Internal|DC:SC9|AI:Internal
10.1.79.158,snap.netsuite.com,IP,all_internal|BU:NSCore|Security|sc9_qa_saops_internal_all|Internal|DC:SC9|AI:Internal
10.1.79.159,webservices.snap.netsuite.com,IP,all_internal|BU:NSCore|Security|sc9_qa_saops_internal_all|Internal|DC:SC9|AI:Internal
10.1.79.160,forms.snap.netsuite.com,IP,all_internal|BU:NSCore|Security|sc9_qa_saops_internal_all|Internal|DC:SC9|AI:Internal
10.1.166.50,qa-db518-console.svale.netledger.com,IP,all_internal|BU:NSCore|Security|sc9_qa_saops_internal_all|CVE-2017-12542  Vulnerable NSCore Assets|Internal|DC:SC9|AI:Internal
10.1.166.66,qa-db493-console.svale.netledger.com,IP,all_internal|BU:NSCore|Security|sc9_qa_saops_internal_all|CVE-2017-12542  Vulnerable NSCore Assets|Internal|DC:SC9|AI:Internal
10.1.166.68,qa-db510-console.svale.netledger.com,IP,all_internal|BU:NSCore|Security|sc9_qa_saops_internal_all|CVE-2017-12542  Vulnerable NSCore Assets|Internal|DC:SC9|AI:Internal
10.1.166.48,qa-db494-console.svale.netledger.com,IP,all_internal|BU:NSCore|Security|sc9_qa_saops_internal_all|CVE-2017-12542  Vulnerable NSCore Assets|Internal|DC:SC9|AI:Internal
10.1.166.40,qa-db517-console.svale.netledger.com,IP,all_internal|BU:NSCore|Security|sc9_qa_saops_internal_all|CVE-2017-12542  Vulnerable NSCore Assets|Internal|DC:SC9|AI:Internal
10.1.166.116,qa-db009-console.svale.netledger.com,IP,all_internal|BU:NSCore|Security|sc9_qa_saops_internal_all|CVE-2017-12542  Vulnerable NSCore Assets|Internal|DC:SC9|AI:Internal
10.1.166.69,qa-db511-console.svale.netledger.com,IP,all_internal|BU:NSCore|Security|sc9_qa_saops_internal_all|CVE-2017-12542  Vulnerable NSCore Assets|Internal|DC:SC9|AI:Internal
10.1.65.154,debug004.snap.svale.netledger.com,IP,all_internal|BU:NSCore|Security|sc9_qa_saops_internal_all|sc9_weblogic_vulnerable|Internal|DC:SC9|AI:Internal
10.1.166.119,qa-db044-console.svale.netledger.com,IP,all_internal|BU:NSCore|Security|sc9_qa_saops_internal_all|CVE-2017-12542  Vulnerable NSCore Assets|Internal|DC:SC9|AI:Internal
10.1.66.91,qa-db030.svale.netledger.com,IP,all_internal|BU:NSCore|Security|sc9_qa_saops_internal_all|sc9_wg_molecule|Internal|DC:SC9|AI:Internal
